"nrx-1","mir-1","unc-49","nlg-1","unc-25","unc-97","lim-6","lat-2","ptp-3","sup-17","pkd-2"
"folder_2016-5-24_file_525 nrx-1 day 1_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 nrx_1 day 2_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 nrx_1 day 2_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 nrx_1 day 2_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 nrx_1 day 2_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 day 1 _1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 day 1 _2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
