\,SWC Type,Assigned value,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Average spine/varicosity density,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of fitted paths,No. of nodes,No. of paths,No. of primary branches,No. of inner branches,No of spines/varicosities,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
Ndnf-IRES2-dgCre_Ai14-311164.05.01.01_601947752_m,Undefined,0.0,41.014641993397404,0.8845799315779515,35.56470588235294,80.15086529053795,0.5441987253467642,1.0325436996942343,0.0,100.7675,542.2323,12,20917.467416632662,0.06230971389224286,253,510,0,17629,258,6,2,0,258,258,87.0859496917596,47.192697961689056,12957.096828387224,6,2.882731886449909,520.5514000000001,39.63250883392226,168.9588517690385,0.037426075481800915,337.91770353807686,-6.628537902558978,-1.6174589725813426,83.0,80.2290945429041,50.328168612054,39.63250883392231,36.0,1,0,20,-0.03142878214135742,11216.0,878.4460316266947
Nkx2-1-CreERT2_Ai14 _IVSCC_-286572.01.02.01_571972148_m,Undefined,0.0,40.66227883766109,0.9145970147788417,35.6972972972973,73.95983065144229,0.5531952075136553,1.0229934128107139,0.0,101.08,482.029,14,15045.043169934592,0.0745392708991009,182,370,0,12839,189,8,11,0,189,189,486.3138047286142,235.83192377420255,10867.594594094004,5,2.90519724636266,443.53450000000004,29.280701754385966,167.20941928575422,0.040173558278425336,334.41883857150856,-6.793700788281053,-0.6896160315567732,106.0,100.15574611446702,69.47433618210917,29.28070175438596,13.0,1,0,20,0.8788706904729261,8345.0,1066.7730417593298
Nkx2-1-CreERT2_Ai14 _IVSCC_-286577.03.01.01_580260086_m,Undefined,0.0,22.84323971549855,0.8638820613125089,20.932142857142857,91.42265327842962,0.5573735741097154,1.049103576518779,0.0,84.0689,292.3218,11,6396.107120339593,0.04658987408629457,138,280,0,5582,143,5,6,0,143,143,65.44230641351236,64.71039057944459,3694.876768460562,5,3.3496913580246916,350.42080000000004,20.820809248554912,99.33004473548125,0.054222914379404345,198.66008947096248,-6.305199246312817,-0.9207575497818645,49.0,43.58920552045466,53.130023928280664,20.820809248554898,20.0,1,0,20,0.08886509179886048,3602.0,168.7409598064256
Nkx2-1-CreERT2_Ai14 _IVSCC_-294488.04.02.01_649553736_m,Undefined,0.0,33.02605856105206,0.857645920749268,29.607350096711798,84.64465089589496,0.56164587834355,1.049080983363659,0.0,157.8721,343.6642,23,17074.472276063912,0.05378563914117258,257,517,0,14791,261,5,2,0,261,261,99.0879687755103,66.95429653525093,10759.787156395607,6,4.003079710144928,689.553,27.047887323943662,206.37901068109002,0.03125682301627179,412.75802136217993,-7.570222879660043,0.5755232931950753,119.0,108.36262891914853,58.29915555962993,27.047887323943726,13.0,1,0,20,1.3062075636279322,9602.0,980.599395241501
Nkx2-1-CreERT2_Ai14 _IVSCC_-294490.02.02.01_700422073_m,Undefined,0.0,45.83792197066193,0.9184956100254081,39.93460490463215,73.08932898043376,0.5360198803233319,1.0217651709793174,0.0,104.99409999999999,577.8955,22,16822.517363232913,0.06284379579408034,181,367,0,14290,187,6,16,0,187,187,148.18699296002615,524.3673387373415,11329.89558456567,5,1.9924342105263158,610.0806,28.764705882352942,210.4585557470748,0.03024569239847956,420.9171114941496,-7.531451183836001,-1.0312673529156766,79.0,77.44500139358581,80.39989770112969,28.764705882352835,23.0,1,0,20,0.5623777086467727,10269.0,638.4500991407804
Nkx2-1-CreERT2_Ai14 _IVSCC_-294491.03.01.01_591276550_m,Undefined,0.0,41.943370401454516,0.8808062734675247,36.88914027149321,70.06958988203269,0.5242411714966706,1.0362781372167928,0.0,74.75999999999999,464.6254,14,18538.969717442873,0.061435243875416885,218,442,0,15864,225,7,8,0,225,225,207.08116274060407,94.73049156685455,11854.483850127897,5,2.3401512027034217,620.6284,32.55277777777778,211.02269532573615,0.030604770403121973,422.04539065147236,-7.323739380134751,-0.8735557009565671,99.0,90.29246942963428,70.53683409216808,32.5527777777777,24.5,1,0,20,0.6337333933128679,11719.0,833.1559811203939
Nkx2-1-CreERT2_Ai14_BT_-278735.06.02.01_569314921_m,Undefined,0.0,31.18838706374256,0.8892952165767136,26.722477064220183,81.3756196977773,0.5491204006563889,1.0329248197309415,0.0,111.23,437.7012,12,13598.136759791762,0.05006530146952121,215,436,0,11216,222,6,2,0,222,222,148.88653936861374,60.171733621515656,8866.924057184473,6,2.9198878205128205,425.9982,29.9251968503937,157.06387685965035,0.037484520986592176,314.1277537193007,-6.9649106044551585,-1.3908478187814626,70.0,63.366691900452025,62.08058373899223,29.92519685039375,29.0,1,0,20,0.18199895302713168,7601.0,505.30268276742214
Nkx2-1-CreERT2_Ai14_BT_-278735.06.02.02_570682084_m,Undefined,0.0,29.102677729047386,0.9119860523222191,25.504950495049506,81.55990089461521,0.5670326154272196,1.0272345347912921,0.0,117.2066,449.7075,18,5878.740901267573,0.06255579689704102,97,202,0,4951,106,7,11,0,106,106,142.08971077635766,82.0374014602374,3858.179374710888,4,2.1534184206598,514.3261,10.616279069767442,204.67042564433677,3.957517984222043,409.3408512886735,4.84075113226178,0.24967379033205583,46.0,43.499581905818445,57.28385090920212,10.616279069767463,3.0,1,0,20,1.3613379312002203,3652.0,200.04474879652886
Nos1-CreERT2_Ai14-294361.05.01.01_585893455_m,Undefined,0.0,41.95544610463823,0.8720788242755713,36.97607655502392,67.54800897340546,0.537415307436416,1.0373325807708975,0.0,87.778,573.9986,12,8768.68823586939,0.06708277877705869,101,209,0,7520,109,9,4,0,109,109,319.1773435970537,79.31321698880664,4783.538027774072,5,2.3444264069264067,380.7469,13.153605015673982,238.55907869635345,0.0258129959542116,477.11815739270696,-8.723477133443682,0.16071421274997588,45.0,39.28100303348824,48.0118900520963,13.153605015673987,12.0,1,0,20,0.8139003324324723,4196.0,109.80966463594956
Nos1-CreERT2_Ai14_BT_-260226.04.02.01_596793240_m,Undefined,0.0,50.876757501082444,0.8675013535434303,43.46825396825397,78.80035136784875,0.5042233789251938,1.0343948859625565,0.0,114.5018,584.2786000000001,8,12820.942890272781,0.08392441174140888,124,252,0,10703,129,6,5,0,129,129,246.2489199349074,100.95711304710771,8038.047086639662,5,2.280602477477477,512.5909,21.79179810725552,190.87413588375136,0.0289290220539913,381.74827176750273,-8.110372908816744,-0.9709677240616603,61.0,54.95209631279335,96.64513209303865,21.7917981072555,13.0,1,0,20,0.6855310601154124,6908.0,306.2603122629083
